Key,Value,Frequency
SightID,80025985,9
SightID,80025981,9
SightID,80026003,9
SightID,80025982,9
SightID,80026022,9
SightID,80026021,9
SightID,80026011,9
SightID,80026009,9
SightID,80025993,9
SightID,80025990,9
SightID,80026104,12
SightID,80026105,12
SightID,80026085,12
SightID,80026071,12
SightID,80026091,12
SightID,80026083,12
SightID,80026058,12
SightID,80026066,12
SightID,80026062,12
SightID,80026056,12
SightID,80026231,22
SightID,80026232,22
SightID,80026300,22
SightID,80026275,22
SightID,80026259,22
SightID,80026222,22
SightID,80026228,22
SightID,80026226,22
SightID,80026204,22
SightID,80026188,22
SightID,80026490,35
SightID,80026459,35
SightID,80026460,35
SightID,80026449,35
SightID,80026432,35
SightID,80026504,35
SightID,80026387,35
SightID,80026380,35
SightID,80026702,35
SightID,80026381,35
SightID,80026732,31
SightID,80026723,31
SightID,80026731,31
SightID,80026871,31
SightID,80026719,31
SightID,80026927,31
SightID,80026742,31
SightID,80026864,31
SightID,80026749,31
SightID,80026766,31
SightID,80027102,18
SightID,80027029,18
SightID,80027053,18
SightID,80027086,18
SightID,80027028,18
SightID,80079307,18
SightID,80097011,18
SightID,80027099,18
SightID,80027025,18
SightID,80027080,18
SightID,80027173,2
SightID,80027168,2
SightID,80027164,2
SightID,80027165,2
SightID,80133052,2
SightID,80027176,2
SightID,80027171,2
SightID,80027167,2
SightID,80090624,2
SightID,80132107,2
SightID,80027238,14
SightID,80027265,14
SightID,80026523,14
SightID,80027298,14
SightID,80027259,14
SightID,80027223,14
SightID,80027225,14
SightID,80027210,14
SightID,80027234,14
SightID,80027201,14
SightID,80027325,5
SightID,80027342,5
SightID,80027336,5
SightID,80027335,5
SightID,80027327,5
SightID,80027320,5
SightID,80027322,5
SightID,80027318,5
SightID,80027312,5
SightID,80027310,5
SightID,80027355,2
SightID,80027359,2
SightID,80027361,2
SightID,80027354,2
SightID,80027350,2
SightID,80027351,2
SightID,80027356,2
SightID,80027353,2
SightID,80027357,2
SightID,80027352,2
SightID,80027396,4
SightID,80027376,4
SightID,80027389,4
SightID,80027370,4
SightID,80027369,4
SightID,80027383,4
SightID,80027366,4
SightID,80027367,4
SightID,80027401,4
SightID,80027395,4
Title,船岡山,9
Title,大田神社のカキツバタ,9
Title,今宮神社,9
Title,大田神社,9
Title,賀茂別雷神社(上賀茂神社),9
Title,閑臥庵,9
Title,建勲神社,9
Title,源光庵,9
Title,常照寺(吉野太夫菩提所),9
Title,正伝寺,9
Title,護王神社,12
Title,御靈神社(上御霊神社),12
Title,相国寺,12
Title,白峯神宮,12
Title,水火天満宮,12
Title,大光明寺,12
Title,梨木神社,12
Title,宝鏡寺(人形の寺),12
Title,本法寺,12
Title,廬山寺,12
Title,出世稲荷神社,22
Title,蹴上インクライン,22
Title,岡崎さくら回廊十石舟めぐり,22
Title,京都 熊野神社,22
Title,くろ谷 金戒光明寺,22
Title,聖護院,22
Title,真正極楽寺(真如堂),22
Title,須賀神社,22
Title,東天王 岡崎神社,22
Title,平安神宮,22
Title,高瀬川,35
Title,誓願寺,35
Title,誠心院,35
Title,染殿地蔵院,35
Title,蛸薬師堂(永福寺),35
Title,錦天満宮,35
Title,本能寺,35
Title,矢田寺(矢田地蔵尊),35
Title,1928ビル,35
Title,木屋町通,35
Title,豊国神社,31
Title,養源院,31
Title,豊国廟,31
Title,京都国立博物館,31
Title,洛東遺芳館,31
Title,河井寛次郎記念館,31
Title,舞妓変身スタジオ え・まーさ,31
Title,京料理 はり清,31
Title,半兵衛麸,31
Title,道楽,31
Title,粟嶋堂 宗徳寺,18
Title,道祖神社,18
Title,若一神社,18
Title,京都タワー,18
Title,梅小路公園,18
Title,京都水族館,18
Title,京都鉄道博物館,18
Title,角屋もてなしの文化美術館,18
Title,美術館「えき」KYOTO,18
Title,京都劇場,18
Title,観智院,2
Title,東寺(教王護国寺),2
Title,六孫王神社,2
Title,羅城門跡,2
Title,菓子と喫茶 うたうプリン,2
Title,イオンモールKYOTO,2
Title,京・東寺 うね乃,2
Title,東寺餅,2
Title,ダイソー イオンモールKYOTO店,2
Title,日の出湯,2
Title,常照皇寺,14
Title,京都市京北宇津峡公園,14
Title,京都市京北森林公園,14
Title,道の駅 ウッディー京北(関西広域連合域内直売所),14
Title,桂春院,14
Title,大心院,14
Title,退蔵院,14
Title,東林院(沙羅双樹の寺),14
Title,仁和寺,14
Title,法金剛院,14
Title,長建寺,5
Title,嘉祥寺,5
Title,元政庵瑞光寺,5
Title,御香宮神社,5
Title,大黒寺,5
Title,白龍銭洗辨財天(瑞光寺),5
Title,藤森神社,5
Title,伏見稲荷大社,5
Title,墨染寺,5
Title,明治天皇伏見桃山陵,5
Title,将軍塚青龍殿,2
Title,岩屋寺,2
Title,勧修寺,2
Title,随心院,2
Title,毘沙門堂,2
Title,日向大神宮,2
Title,山科地蔵徳林庵,2
Title,天智天皇陵,2
Title,山科疏水の道,2
Title,東山ドライブウェイ,2
Title,華巌寺(鈴虫寺),4
Title,地蔵院,4
Title,月読神社,4
Title,法輪寺,4
Title,法輪寺電電宮,4
Title,松尾大社(松尾さん),4
Title,嵐山モンキーパークいわたやま,4
Title,嵐山ハイブリッド美術館,4
Title,くいしんぼー山中,4
Title,鎌倉パスタ 京都桂店,4
Kana,ふなおかやま,9
Kana,おおたじんじゃのかきつばた,9
Kana,いまみやじんじゃ,9
Kana,おおたじんじゃ,9
Kana,かもわけいかづちじんじゃ(かみがもじんじゃ),9
Kana,かんがあん,9
Kana,けんくんじんじゃ,9
Kana,げんこうあん,9
Kana,じょうしょうじ(よしのだゆうぼだいしょ),9
Kana,しょうでんじ,9
Kana,ごおうじんじゃ,12
Kana,ごりょうじんじゃ(かみごりょうじんじゃ),12
Kana,しょうこくじ,12
Kana,しらみねじんぐう,12
Kana,すいかてんまんぐう,12
Kana,だいこうみょうじ,12
Kana,なしのきじんじゃ,12
